Wavelength,Power transmitted
400.000,0.997606
401.000,0.997603
402.000,0.997600
403.000,0.997597
404.000,0.997594
405.000,0.997591
406.000,0.997588
407.000,0.997585
408.000,0.997582
409.000,0.997579
410.000,0.997576
411.000,0.997573
412.000,0.997571
413.000,0.997568
414.000,0.997565
415.000,0.997561
416.000,0.997559
417.000,0.997556
418.000,0.997553
419.000,0.997551
420.000,0.997548
421.000,0.997545
422.000,0.997542
423.000,0.997540
424.000,0.997537
425.000,0.997534
426.000,0.997531
427.000,0.997529
428.000,0.997526
429.000,0.997523
430.000,0.997521
431.000,0.997518
432.000,0.997516
433.000,0.997514
434.000,0.997511
435.000,0.997508
436.000,0.997506
437.000,0.997503
438.000,0.997501
439.000,0.997498
440.000,0.997496
441.000,0.997493
442.000,0.997491
443.000,0.997489
444.000,0.997486
445.000,0.997483
446.000,0.997481
447.000,0.997479
448.000,0.997476
449.000,0.997474
450.000,0.997471
451.000,0.997469
452.000,0.997467
453.000,0.997465
454.000,0.997462
455.000,0.997460
456.000,0.997458
457.000,0.997455
458.000,0.997453
459.000,0.997451
460.000,0.997449
461.000,0.997447
462.000,0.997444
463.000,0.997442
464.000,0.997440
465.000,0.997438
466.000,0.997436
467.000,0.997434
468.000,0.997432
469.000,0.997429
470.000,0.997427
471.000,0.997425
472.000,0.997423
473.000,0.997421
474.000,0.997419
475.000,0.997417
476.000,0.997415
477.000,0.997412
478.000,0.997411
479.000,0.997408
480.000,0.997407
481.000,0.997405
482.000,0.997402
483.000,0.997400
484.000,0.997399
485.000,0.997397
486.000,0.997395
487.000,0.997393
488.000,0.997391
489.000,0.997389
490.000,0.997387
491.000,0.997385
492.000,0.997383
493.000,0.997381
494.000,0.997380
495.000,0.997377
496.000,0.997376
497.000,0.997374
498.000,0.997372
499.000,0.997370
500.000,0.997369
501.000,0.997366
502.000,0.997365
503.000,0.997363
504.000,0.997361
505.000,0.997359
506.000,0.997357
507.000,0.997356
508.000,0.997354
509.000,0.997352
510.000,0.997350
511.000,0.997349
512.000,0.997347
513.000,0.997346
514.000,0.997344
515.000,0.997342
516.000,0.997340
517.000,0.997338
518.000,0.997337
519.000,0.997335
520.000,0.997334
521.000,0.997332
522.000,0.997330
523.000,0.997329
524.000,0.997327
525.000,0.997325
526.000,0.997324
527.000,0.997322
528.000,0.997321
529.000,0.997319
530.000,0.997318
531.000,0.997316
532.000,0.997314
533.000,0.997313
534.000,0.997311
535.000,0.997310
536.000,0.997308
537.000,0.997306
538.000,0.997305
539.000,0.997303
540.000,0.997302
541.000,0.997300
542.000,0.997299
543.000,0.997297
544.000,0.997296
545.000,0.997295
546.000,0.997293
547.000,0.997291
548.000,0.997290
549.000,0.997289
550.000,0.997287
551.000,0.997286
552.000,0.997285
553.000,0.997283
554.000,0.997282
555.000,0.997280
556.000,0.997279
557.000,0.997278
558.000,0.997276
559.000,0.997275
560.000,0.997273
561.000,0.997272
562.000,0.997271
563.000,0.997269
564.000,0.997268
565.000,0.997266
566.000,0.997265
567.000,0.997264
568.000,0.997263
569.000,0.997261
570.000,0.997260
571.000,0.997258
572.000,0.997257
573.000,0.997256
574.000,0.997254
575.000,0.997253
576.000,0.997252
577.000,0.997251
578.000,0.997250
579.000,0.997248
580.000,0.997247
581.000,0.997246
582.000,0.997244
583.000,0.997243
584.000,0.997242
585.000,0.997240
586.000,0.997240
587.000,0.997238
588.000,0.997237
589.000,0.997236
590.000,0.997235
591.000,0.997233
592.000,0.997232
593.000,0.997231
594.000,0.997230
595.000,0.997229
596.000,0.997227
597.000,0.997226
598.000,0.997225
599.000,0.997224
600.000,0.997223
601.000,0.997222
602.000,0.997221
603.000,0.997219
604.000,0.997218
605.000,0.997217
606.000,0.997216
607.000,0.997215
608.000,0.997214
609.000,0.997213
610.000,0.997211
611.000,0.997210
612.000,0.997209
613.000,0.997208
614.000,0.997207
615.000,0.997206
616.000,0.997205
617.000,0.997204
618.000,0.997203
619.000,0.997202
620.000,0.997200
621.000,0.997199
622.000,0.997198
623.000,0.997197
624.000,0.997196
625.000,0.997195
626.000,0.997194
627.000,0.997193
628.000,0.997192
629.000,0.997191
630.000,0.997190
631.000,0.997189
632.000,0.997188
633.000,0.997187
634.000,0.997186
635.000,0.997185
636.000,0.997184
637.000,0.997183
638.000,0.997182
639.000,0.997181
640.000,0.997180
641.000,0.997179
642.000,0.997178
643.000,0.997177
644.000,0.997176
645.000,0.997175
646.000,0.997174
647.000,0.997173
648.000,0.997172
649.000,0.997171
650.000,0.997170
651.000,0.997169
652.000,0.997168
653.000,0.997168
654.000,0.997166
655.000,0.997166
656.000,0.997165
657.000,0.997164
658.000,0.997163
659.000,0.997162
660.000,0.997161
661.000,0.997160
662.000,0.997159
663.000,0.997158
664.000,0.997158
665.000,0.997157
666.000,0.997156
667.000,0.997155
668.000,0.997154
669.000,0.997153
670.000,0.997152
671.000,0.997151
672.000,0.997150
673.000,0.997149
674.000,0.997149
675.000,0.997148
676.000,0.997147
677.000,0.997146
678.000,0.997145
679.000,0.997144
680.000,0.997143
681.000,0.997142
682.000,0.997142
683.000,0.997141
684.000,0.997140
685.000,0.997139
686.000,0.997138
687.000,0.997138
688.000,0.997137
689.000,0.997136
690.000,0.997135
691.000,0.997134
692.000,0.997133
693.000,0.997133
694.000,0.997132
695.000,0.997131
696.000,0.997130
697.000,0.997129
698.000,0.997129
699.000,0.997128
700.000,0.997127
701.000,0.997126
702.000,0.997126
703.000,0.997125
704.000,0.997124
705.000,0.997123
706.000,0.997122
707.000,0.997122
708.000,0.997121
709.000,0.997120
710.000,0.997119
711.000,0.997119
712.000,0.997118
713.000,0.997117
714.000,0.997116
715.000,0.997116
716.000,0.997115
717.000,0.997114
718.000,0.997114
719.000,0.997113
720.000,0.997112
721.000,0.997111
722.000,0.997110
723.000,0.997110
