Wavelength,Power transmitted
400.000,0.989199
401.000,0.989184
402.000,0.989169
403.000,0.989154
404.000,0.989140
405.000,0.989125
406.000,0.989110
407.000,0.989096
408.000,0.989081
409.000,0.989066
410.000,0.989052
411.000,0.989037
412.000,0.989022
413.000,0.989008
414.000,0.988994
415.000,0.988979
416.000,0.988965
417.000,0.988951
418.000,0.988937
419.000,0.988924
420.000,0.988910
421.000,0.988896
422.000,0.988883
423.000,0.988869
424.000,0.988856
425.000,0.988842
426.000,0.988829
427.000,0.988816
428.000,0.988803
429.000,0.988790
430.000,0.988777
431.000,0.988764
432.000,0.988751
433.000,0.988738
434.000,0.988725
435.000,0.988712
436.000,0.988700
437.000,0.988687
438.000,0.988675
439.000,0.988662
440.000,0.988650
441.000,0.988638
442.000,0.988625
443.000,0.988613
444.000,0.988601
445.000,0.988589
446.000,0.988577
447.000,0.988565
448.000,0.988553
449.000,0.988542
450.000,0.988530
451.000,0.988518
452.000,0.988507
453.000,0.988495
454.000,0.988484
455.000,0.988472
456.000,0.988461
457.000,0.988450
458.000,0.988438
459.000,0.988427
460.000,0.988416
461.000,0.988405
462.000,0.988394
463.000,0.988383
464.000,0.988372
465.000,0.988361
466.000,0.988350
467.000,0.988340
468.000,0.988329
469.000,0.988318
470.000,0.988308
471.000,0.988297
472.000,0.988286
473.000,0.988276
474.000,0.988266
475.000,0.988255
476.000,0.988245
477.000,0.988235
478.000,0.988224
479.000,0.988214
480.000,0.988204
481.000,0.988194
482.000,0.988184
483.000,0.988174
484.000,0.988164
485.000,0.988155
486.000,0.988145
487.000,0.988135
488.000,0.988125
489.000,0.988116
490.000,0.988106
491.000,0.988097
492.000,0.988087
493.000,0.988078
494.000,0.988068
495.000,0.988059
496.000,0.988049
497.000,0.988040
498.000,0.988031
499.000,0.988022
500.000,0.988012
501.000,0.988003
502.000,0.987994
503.000,0.987985
504.000,0.987976
505.000,0.987967
506.000,0.987958
507.000,0.987949
508.000,0.987940
509.000,0.987932
510.000,0.987923
511.000,0.987914
512.000,0.987905
513.000,0.987897
514.000,0.987888
515.000,0.987880
516.000,0.987871
517.000,0.987863
518.000,0.987854
519.000,0.987846
520.000,0.987837
521.000,0.987829
522.000,0.987821
523.000,0.987813
524.000,0.987804
525.000,0.987796
526.000,0.987788
527.000,0.987780
528.000,0.987772
529.000,0.987764
530.000,0.987756
531.000,0.987748
532.000,0.987740
533.000,0.987732
534.000,0.987724
535.000,0.987716
536.000,0.987708
537.000,0.987700
538.000,0.987693
539.000,0.987685
540.000,0.987677
541.000,0.987670
542.000,0.987662
543.000,0.987655
544.000,0.987647
545.000,0.987640
