Wavelength,Power transmitted
400.000,0.802998
401.000,0.806457
402.000,0.809887
403.000,0.813277
404.000,0.816615
405.000,0.819890
406.000,0.823093
407.000,0.826217
408.000,0.829256
409.000,0.832207
410.000,0.835068
411.000,0.837839
412.000,0.840522
413.000,0.843119
414.000,0.845636
415.000,0.848077
416.000,0.850446
417.000,0.852748
418.000,0.854988
419.000,0.857170
420.000,0.859297
421.000,0.861373
422.000,0.863399
423.000,0.865377
424.000,0.867309
425.000,0.869195
426.000,0.871037
427.000,0.872834
428.000,0.874587
429.000,0.876297
430.000,0.877965
431.000,0.879591
432.000,0.881176
433.000,0.882722
434.000,0.884230
435.000,0.885701
436.000,0.887137
437.000,0.888539
438.000,0.889909
439.000,0.891248
440.000,0.892556
441.000,0.893836
442.000,0.895088
443.000,0.896313
444.000,0.897511
445.000,0.898683
446.000,0.899830
447.000,0.900952
448.000,0.902049
449.000,0.903123
450.000,0.904174
451.000,0.905202
452.000,0.906208
453.000,0.907193
454.000,0.908157
455.000,0.909101
456.000,0.910027
457.000,0.910933
458.000,0.911822
459.000,0.912694
460.000,0.913548
461.000,0.914386
462.000,0.915208
463.000,0.916015
464.000,0.916806
465.000,0.917582
466.000,0.918344
467.000,0.919092
468.000,0.919826
469.000,0.920547
470.000,0.921254
471.000,0.921948
472.000,0.922630
473.000,0.923299
474.000,0.923957
475.000,0.924602
476.000,0.925236
477.000,0.925858
478.000,0.926470
479.000,0.927071
480.000,0.927661
481.000,0.928242
482.000,0.928812
483.000,0.929373
484.000,0.929925
485.000,0.930467
486.000,0.931001
487.000,0.931526
488.000,0.932042
489.000,0.932550
490.000,0.933049
491.000,0.933541
492.000,0.934024
493.000,0.934500
494.000,0.934969
495.000,0.935429
496.000,0.935883
497.000,0.936329
498.000,0.936768
499.000,0.937201
500.000,0.937626
501.000,0.938046
502.000,0.938458
503.000,0.938865
504.000,0.939265
505.000,0.939660
506.000,0.940048
507.000,0.940431
508.000,0.940809
509.000,0.941180
510.000,0.941547
511.000,0.941908
512.000,0.942264
513.000,0.942615
514.000,0.942961
515.000,0.943302
516.000,0.943638
517.000,0.943970
518.000,0.944297
519.000,0.944619
520.000,0.944937
521.000,0.945251
522.000,0.945561
523.000,0.945866
524.000,0.946168
525.000,0.946465
526.000,0.946759
527.000,0.947049
528.000,0.947335
529.000,0.947617
530.000,0.947895
531.000,0.948170
532.000,0.948442
533.000,0.948710
534.000,0.948974
535.000,0.949235
536.000,0.949492
537.000,0.949747
538.000,0.949998
539.000,0.950245
540.000,0.950490
541.000,0.950732
542.000,0.950971
543.000,0.951207
544.000,0.951440
545.000,0.951670
546.000,0.951897
547.000,0.952122
548.000,0.952344
549.000,0.952564
550.000,0.952781
551.000,0.952995
552.000,0.953207
553.000,0.953417
554.000,0.953624
555.000,0.953829
556.000,0.954031
557.000,0.954231
558.000,0.954429
559.000,0.954624
560.000,0.954817
561.000,0.955008
562.000,0.955197
563.000,0.955384
564.000,0.955569
565.000,0.955752
566.000,0.955932
567.000,0.956111
568.000,0.956288
569.000,0.956463
570.000,0.956636
571.000,0.956807
572.000,0.956976
573.000,0.957144
574.000,0.957310
575.000,0.957474
576.000,0.957637
577.000,0.957797
578.000,0.957956
579.000,0.958113
580.000,0.958268
581.000,0.958422
582.000,0.958574
583.000,0.958724
584.000,0.958873
585.000,0.959020
586.000,0.959166
587.000,0.959310
588.000,0.959452
589.000,0.959594
590.000,0.959734
591.000,0.959873
592.000,0.960011
593.000,0.960147
594.000,0.960283
595.000,0.960417
596.000,0.960550
597.000,0.960681
598.000,0.960812
599.000,0.960941
600.000,0.961069
601.000,0.961195
602.000,0.961321
603.000,0.961445
604.000,0.961567
605.000,0.961689
606.000,0.961809
607.000,0.961928
608.000,0.962046
609.000,0.962162
610.000,0.962278
611.000,0.962392
612.000,0.962505
613.000,0.962618
614.000,0.962729
615.000,0.962840
616.000,0.962949
617.000,0.963058
618.000,0.963165
619.000,0.963272
620.000,0.963378
621.000,0.963483
622.000,0.963587
623.000,0.963690
624.000,0.963792
625.000,0.963894
626.000,0.963994
627.000,0.964094
628.000,0.964193
629.000,0.964291
630.000,0.964388
631.000,0.964484
632.000,0.964579
633.000,0.964673
634.000,0.964767
635.000,0.964860
636.000,0.964952
637.000,0.965043
638.000,0.965133
639.000,0.965223
640.000,0.965312
641.000,0.965400
642.000,0.965487
643.000,0.965574
644.000,0.965660
645.000,0.965745
646.000,0.965830
647.000,0.965914
648.000,0.965997
649.000,0.966080
650.000,0.966162
651.000,0.966243
652.000,0.966324
653.000,0.966404
654.000,0.966484
655.000,0.966563
656.000,0.966642
657.000,0.966720
658.000,0.966797
659.000,0.966873
660.000,0.966949
661.000,0.967025
662.000,0.967099
663.000,0.967174
664.000,0.967247
665.000,0.967320
666.000,0.967392
667.000,0.967464
668.000,0.967535
669.000,0.967605
670.000,0.967675
671.000,0.967745
672.000,0.967814
673.000,0.967882
674.000,0.967950
