Wavelength,Power transmitted
400.000,0.987474
401.000,0.987359
402.000,0.987237
403.000,0.987116
404.000,0.986988
405.000,0.986857
406.000,0.986726
407.000,0.986589
408.000,0.986447
409.000,0.986301
410.000,0.986152
411.000,0.985998
412.000,0.985844
413.000,0.985681
414.000,0.985513
415.000,0.985337
416.000,0.985159
417.000,0.984974
418.000,0.984785
419.000,0.984588
420.000,0.984386
421.000,0.984172
422.000,0.983954
423.000,0.983729
424.000,0.983494
425.000,0.983252
426.000,0.982998
427.000,0.982738
428.000,0.982461
429.000,0.982177
430.000,0.981886
431.000,0.981579
432.000,0.981256
433.000,0.980929
434.000,0.980578
435.000,0.980218
436.000,0.979837
437.000,0.979439
438.000,0.979029
439.000,0.978595
440.000,0.978141
441.000,0.977666
442.000,0.977168
443.000,0.976645
444.000,0.976091
445.000,0.975515
446.000,0.974909
447.000,0.974265
448.000,0.973587
449.000,0.972879
450.000,0.972116
451.000,0.971327
452.000,0.970475
453.000,0.969592
454.000,0.968637
455.000,0.967645
456.000,0.966568
457.000,0.965424
458.000,0.964206
459.000,0.962933
460.000,0.961548
461.000,0.960065
462.000,0.958479
463.000,0.956777
464.000,0.954952
465.000,0.952985
466.000,0.950835
467.000,0.948543
468.000,0.946066
469.000,0.943369
470.000,0.940408
471.000,0.937226
472.000,0.933757
473.000,0.929885
474.000,0.925708
475.000,0.921032
476.000,0.915959
477.000,0.910233
478.000,0.903889
479.000,0.896905
480.000,0.888998
481.000,0.880107
482.000,0.870123
483.000,0.858869
484.000,0.846221
485.000,0.832262
486.000,0.816422
487.000,0.798883
488.000,0.779713
489.000,0.758743
490.000,0.737021
491.000,0.714549
492.000,0.691810
493.000,0.669171
494.000,0.646948
495.000,0.625109
496.000,0.604557
497.000,0.585066
498.000,0.566417
499.000,0.549313
500.000,0.533188
501.000,0.518626
502.000,0.505092
503.000,0.493082
504.000,0.482142
505.000,0.472675
506.000,0.464301
507.000,0.457221
508.000,0.451541
509.000,0.447025
510.000,0.443814
511.000,0.441916
512.000,0.441349
513.000,0.442096
514.000,0.444172
515.000,0.447594
516.000,0.452361
517.000,0.458461
518.000,0.465865
519.000,0.474513
520.000,0.484367
521.000,0.495324
522.000,0.507237
523.000,0.520014
524.000,0.533490
525.000,0.547825
526.000,0.562226
527.000,0.576818
528.000,0.591562
529.000,0.606653
530.000,0.621382
531.000,0.636039
532.000,0.650864
533.000,0.665147
534.000,0.679101
535.000,0.692987
536.000,0.706090
537.000,0.718982
538.000,0.730995
539.000,0.742728
540.000,0.753596
541.000,0.764098
542.000,0.774004
543.000,0.783105
544.000,0.791878
545.000,0.799916
546.000,0.807642
547.000,0.814878
548.000,0.821685
549.000,0.827900
550.000,0.833878
551.000,0.839499
552.000,0.844776
553.000,0.849716
554.000,0.854260
555.000,0.858637
556.000,0.862757
557.000,0.866651
558.000,0.870314
559.000,0.873771
560.000,0.877032
561.000,0.880130
562.000,0.883048
563.000,0.885817
564.000,0.888436
565.000,0.890922
566.000,0.893277
567.000,0.895519
568.000,0.897652
569.000,0.899736
570.000,0.901667
571.000,0.903491
572.000,0.905247
573.000,0.906919
574.000,0.908552
575.000,0.910077
576.000,0.911535
577.000,0.912919
578.000,0.914294
579.000,0.915562
580.000,0.916788
581.000,0.917989
582.000,0.919106
583.000,0.920221
584.000,0.921248
585.000,0.922235
586.000,0.923228
587.000,0.924140
588.000,0.925047
589.000,0.925889
590.000,0.926730
591.000,0.927513
592.000,0.928293
593.000,0.929020
594.000,0.929745
595.000,0.930446
596.000,0.931088
597.000,0.931740
598.000,0.932346
599.000,0.932955
600.000,0.933535
601.000,0.934082
602.000,0.934633
603.000,0.935157
604.000,0.935672
605.000,0.936142
606.000,0.936625
607.000,0.937083
608.000,0.937528
609.000,0.937948
610.000,0.938365
611.000,0.938769
612.000,0.939161
613.000,0.939540
614.000,0.939916
615.000,0.940257
616.000,0.940604
617.000,0.940940
618.000,0.941266
619.000,0.941582
620.000,0.941882
621.000,0.942180
622.000,0.942470
623.000,0.942751
624.000,0.943024
625.000,0.943282
626.000,0.943540
627.000,0.943783
628.000,0.944027
629.000,0.944263
630.000,0.944487
631.000,0.944704
632.000,0.944920
633.000,0.945125
634.000,0.945331
635.000,0.945524
636.000,0.945724
637.000,0.945906
638.000,0.946090
639.000,0.946262
640.000,0.946430
641.000,0.946594
642.000,0.946762
643.000,0.946916
644.000,0.947066
645.000,0.947212
646.000,0.947353
647.000,0.947495
648.000,0.947629
649.000,0.947760
650.000,0.947886
651.000,0.948013
652.000,0.948132
653.000,0.948248
654.000,0.948365
655.000,0.948475
656.000,0.948576
657.000,0.948688
658.000,0.948784
659.000,0.948877
