Wavelength,Power transmitted
400.000,0.792044
401.000,0.795793
402.000,0.799512
403.000,0.803186
404.000,0.806802
405.000,0.810350
406.000,0.813819
407.000,0.817200
408.000,0.820488
409.000,0.823679
410.000,0.826770
411.000,0.829763
412.000,0.832659
413.000,0.835461
414.000,0.838175
415.000,0.840804
416.000,0.843355
417.000,0.845833
418.000,0.848243
419.000,0.850589
420.000,0.852876
421.000,0.855105
422.000,0.857281
423.000,0.859405
424.000,0.861478
425.000,0.863501
426.000,0.865475
427.000,0.867400
428.000,0.869278
429.000,0.871109
430.000,0.872893
431.000,0.874632
432.000,0.876326
433.000,0.877978
434.000,0.879588
435.000,0.881159
436.000,0.882691
437.000,0.884187
438.000,0.885647
439.000,0.887074
440.000,0.888468
441.000,0.889830
442.000,0.891163
443.000,0.892466
444.000,0.893740
445.000,0.894986
446.000,0.896205
447.000,0.897397
448.000,0.898562
449.000,0.899702
450.000,0.900817
451.000,0.901908
452.000,0.902974
453.000,0.904018
454.000,0.905040
455.000,0.906041
456.000,0.907021
457.000,0.907980
458.000,0.908921
459.000,0.909843
460.000,0.910746
461.000,0.911632
462.000,0.912501
463.000,0.913353
464.000,0.914188
465.000,0.915008
466.000,0.915812
467.000,0.916602
468.000,0.917376
469.000,0.918136
470.000,0.918881
471.000,0.919613
472.000,0.920331
473.000,0.921036
474.000,0.921728
475.000,0.922407
476.000,0.923074
477.000,0.923729
478.000,0.924373
479.000,0.925005
480.000,0.925626
481.000,0.926236
482.000,0.926835
483.000,0.927424
484.000,0.928004
485.000,0.928573
486.000,0.929133
487.000,0.929684
488.000,0.930225
489.000,0.930758
490.000,0.931282
491.000,0.931797
492.000,0.932304
493.000,0.932803
494.000,0.933294
495.000,0.933776
496.000,0.934251
497.000,0.934719
498.000,0.935179
499.000,0.935631
500.000,0.936077
501.000,0.936515
502.000,0.936947
503.000,0.937372
504.000,0.937791
505.000,0.938203
506.000,0.938609
507.000,0.939009
508.000,0.939404
509.000,0.939792
510.000,0.940175
511.000,0.940552
512.000,0.940924
513.000,0.941290
514.000,0.941651
515.000,0.942007
516.000,0.942358
517.000,0.942703
518.000,0.943044
519.000,0.943381
520.000,0.943712
521.000,0.944039
522.000,0.944362
523.000,0.944681
524.000,0.944995
525.000,0.945305
526.000,0.945610
527.000,0.945912
528.000,0.946210
529.000,0.946504
530.000,0.946794
531.000,0.947080
532.000,0.947362
533.000,0.947641
534.000,0.947916
535.000,0.948187
536.000,0.948455
537.000,0.948720
538.000,0.948981
539.000,0.949238
540.000,0.949493
541.000,0.949744
542.000,0.949992
543.000,0.950237
544.000,0.950479
545.000,0.950718
546.000,0.950955
547.000,0.951188
548.000,0.951419
549.000,0.951647
550.000,0.951872
551.000,0.952095
552.000,0.952315
553.000,0.952532
554.000,0.952747
555.000,0.952959
556.000,0.953169
557.000,0.953377
558.000,0.953582
559.000,0.953784
560.000,0.953985
561.000,0.954183
562.000,0.954379
563.000,0.954572
564.000,0.954764
565.000,0.954953
566.000,0.955140
567.000,0.955325
568.000,0.955509
569.000,0.955690
570.000,0.955869
571.000,0.956046
572.000,0.956222
573.000,0.956395
574.000,0.956567
575.000,0.956737
576.000,0.956905
577.000,0.957071
578.000,0.957236
579.000,0.957398
580.000,0.957559
581.000,0.957718
582.000,0.957875
583.000,0.958031
584.000,0.958184
585.000,0.958337
586.000,0.958487
587.000,0.958636
588.000,0.958784
589.000,0.958930
590.000,0.959075
591.000,0.959219
592.000,0.959361
593.000,0.959502
594.000,0.959642
595.000,0.959781
596.000,0.959918
597.000,0.960054
598.000,0.960189
599.000,0.960322
600.000,0.960454
601.000,0.960585
602.000,0.960714
603.000,0.960842
604.000,0.960969
605.000,0.961094
606.000,0.961218
607.000,0.961341
608.000,0.961463
609.000,0.961583
610.000,0.961702
611.000,0.961820
612.000,0.961937
613.000,0.962053
614.000,0.962168
615.000,0.962282
616.000,0.962395
617.000,0.962507
618.000,0.962618
619.000,0.962728
620.000,0.962838
621.000,0.962946
622.000,0.963053
623.000,0.963160
624.000,0.963265
625.000,0.963370
626.000,0.963473
627.000,0.963576
628.000,0.963678
629.000,0.963779
630.000,0.963879
631.000,0.963978
632.000,0.964076
633.000,0.964173
634.000,0.964270
635.000,0.964365
636.000,0.964460
637.000,0.964554
638.000,0.964647
639.000,0.964739
640.000,0.964831
641.000,0.964922
642.000,0.965012
643.000,0.965101
644.000,0.965189
645.000,0.965277
646.000,0.965364
647.000,0.965451
648.000,0.965537
649.000,0.965622
650.000,0.965706
651.000,0.965790
652.000,0.965873
653.000,0.965956
654.000,0.966038
655.000,0.966120
656.000,0.966200
657.000,0.966280
658.000,0.966360
659.000,0.966439
660.000,0.966517
661.000,0.966594
662.000,0.966671
663.000,0.966748
664.000,0.966823
665.000,0.966898
666.000,0.966972
667.000,0.967046
668.000,0.967119
669.000,0.967192
670.000,0.967264
671.000,0.967335
672.000,0.967406
673.000,0.967476
674.000,0.967546
675.000,0.967616
676.000,0.967684
677.000,0.967753
678.000,0.967821
679.000,0.967888
680.000,0.967955
681.000,0.968022
682.000,0.968088
683.000,0.968153
684.000,0.968218
685.000,0.968283
686.000,0.968347
687.000,0.968411
688.000,0.968474
689.000,0.968536
690.000,0.968599
691.000,0.968660
692.000,0.968722
693.000,0.968783
694.000,0.968843
695.000,0.968903
696.000,0.968963
697.000,0.969022
698.000,0.969081
699.000,0.969140
700.000,0.969198
701.000,0.969255
702.000,0.969313
703.000,0.969370
704.000,0.969426
705.000,0.969482
706.000,0.969538
707.000,0.969593
708.000,0.969648
709.000,0.969702
710.000,0.969756
711.000,0.969810
712.000,0.969863
713.000,0.969916
714.000,0.969969
715.000,0.970021
716.000,0.970073
717.000,0.970125
718.000,0.970176
719.000,0.970227
720.000,0.970277
721.000,0.970328
722.000,0.970378
723.000,0.970427
724.000,0.970477
725.000,0.970526
726.000,0.970574
727.000,0.970623
728.000,0.970671
729.000,0.970718
730.000,0.970766
731.000,0.970813
732.000,0.970860
733.000,0.970906
734.000,0.970952
735.000,0.970998
736.000,0.971044
737.000,0.971089
738.000,0.971134
739.000,0.971179
740.000,0.971224
741.000,0.971268
742.000,0.971312
743.000,0.971356
744.000,0.971399
745.000,0.971442
746.000,0.971485
747.000,0.971528
748.000,0.971570
749.000,0.971612
750.000,0.971654
751.000,0.971695
752.000,0.971737
753.000,0.971778
754.000,0.971819
755.000,0.971859
756.000,0.971899
757.000,0.971940
758.000,0.971979
759.000,0.972019
760.000,0.972058
761.000,0.972098
762.000,0.972137
763.000,0.972175
764.000,0.972214
765.000,0.972252
766.000,0.972290
767.000,0.972328
768.000,0.972365
769.000,0.972402
770.000,0.972439
771.000,0.972476
772.000,0.972513
773.000,0.972549
774.000,0.972586
775.000,0.972622
776.000,0.972658
777.000,0.972693
778.000,0.972729
779.000,0.972764
780.000,0.972799
781.000,0.972834
782.000,0.972868
783.000,0.972903
784.000,0.972937
785.000,0.972971
786.000,0.973005
787.000,0.973039
788.000,0.973072
789.000,0.973106
790.000,0.973139
791.000,0.973172
792.000,0.973204
793.000,0.973237
794.000,0.973269
795.000,0.973302
796.000,0.973334
797.000,0.973365
798.000,0.973397
799.000,0.973429
800.000,0.973460
801.000,0.973491
802.000,0.973522
803.000,0.973553
804.000,0.973583
805.000,0.973614
806.000,0.973644
807.000,0.973674
808.000,0.973704
809.000,0.973734
810.000,0.973764
811.000,0.973793
812.000,0.973823
813.000,0.973852
814.000,0.973881
815.000,0.973910
816.000,0.973939
817.000,0.973967
818.000,0.973996
819.000,0.974024
820.000,0.974052
821.000,0.974080
822.000,0.974108
823.000,0.974135
824.000,0.974163
825.000,0.974190
826.000,0.974218
827.000,0.974245
828.000,0.974272
829.000,0.974299
830.000,0.974325
831.000,0.974352
832.000,0.974379
833.000,0.974405
834.000,0.974431
835.000,0.974457
836.000,0.974483
837.000,0.974509
838.000,0.974535
839.000,0.974560
840.000,0.974586
841.000,0.974611
842.000,0.974636
843.000,0.974661
844.000,0.974686
845.000,0.974711
846.000,0.974735
847.000,0.974760
848.000,0.974784
849.000,0.974809
850.000,0.974833
851.000,0.974857
852.000,0.974881
853.000,0.974904
854.000,0.974928
855.000,0.974952
856.000,0.974975
857.000,0.974998
858.000,0.975022
859.000,0.975045
860.000,0.975068
861.000,0.975091
862.000,0.975113
863.000,0.975136
864.000,0.975159
865.000,0.975181
866.000,0.975203
867.000,0.975226
868.000,0.975248
869.000,0.975270
870.000,0.975292
871.000,0.975314
872.000,0.975335
873.000,0.975357
874.000,0.975378
875.000,0.975400
876.000,0.975421
877.000,0.975442
878.000,0.975464
879.000,0.975485
880.000,0.975506
881.000,0.975526
882.000,0.975547
883.000,0.975568
884.000,0.975588
885.000,0.975609
886.000,0.975629
887.000,0.975650
888.000,0.975670
889.000,0.975690
890.000,0.975710
891.000,0.975730
892.000,0.975749
893.000,0.975769
894.000,0.975789
895.000,0.975808
896.000,0.975828
897.000,0.975847
898.000,0.975866
899.000,0.975885
900.000,0.975904
901.000,0.975923
902.000,0.975942
903.000,0.975961
904.000,0.975980
905.000,0.975998
906.000,0.976017
907.000,0.976036
908.000,0.976054
909.000,0.976072
910.000,0.976091
911.000,0.976109
912.000,0.976127
913.000,0.976145
914.000,0.976163
915.000,0.976181
916.000,0.976198
917.000,0.976216
918.000,0.976234
919.000,0.976251
920.000,0.976269
921.000,0.976286
922.000,0.976303
923.000,0.976321
924.000,0.976338
925.000,0.976355
926.000,0.976372
927.000,0.976389
928.000,0.976406
929.000,0.976423
930.000,0.976439
931.000,0.976456
932.000,0.976473
933.000,0.976489
934.000,0.976506
935.000,0.976522
936.000,0.976538
937.000,0.976555
938.000,0.976571
939.000,0.976587
940.000,0.976603
