Wavelength,Power transmitted
400.000,0.284941
401.000,0.284502
402.000,0.284065
403.000,0.283628
404.000,0.283189
405.000,0.282746
406.000,0.282299
407.000,0.281846
408.000,0.281388
409.000,0.280923
410.000,0.280450
411.000,0.279970
412.000,0.279481
413.000,0.278982
414.000,0.278474
415.000,0.277954
416.000,0.277424
417.000,0.276882
418.000,0.276330
419.000,0.275769
420.000,0.275200
421.000,0.274627
422.000,0.274051
423.000,0.273478
424.000,0.272911
425.000,0.272355
426.000,0.271816
427.000,0.271296
428.000,0.270801
429.000,0.270334
430.000,0.269896
431.000,0.269489
432.000,0.269112
433.000,0.268764
434.000,0.268442
435.000,0.268143
436.000,0.267863
437.000,0.267597
438.000,0.267340
439.000,0.267089
440.000,0.266840
441.000,0.266591
442.000,0.266338
443.000,0.266081
444.000,0.265820
445.000,0.265555
446.000,0.265286
447.000,0.265015
448.000,0.264743
449.000,0.264468
450.000,0.264191
451.000,0.263912
452.000,0.263626
453.000,0.263333
454.000,0.263028
455.000,0.262707
456.000,0.262367
457.000,0.262005
458.000,0.261617
459.000,0.261206
460.000,0.260772
461.000,0.260320
462.000,0.259860
463.000,0.259403
464.000,0.258963
465.000,0.258559
466.000,0.258209
467.000,0.257934
468.000,0.257755
469.000,0.257689
470.000,0.257753
471.000,0.257958
472.000,0.258311
473.000,0.258814
474.000,0.259461
475.000,0.260244
476.000,0.261148
477.000,0.262153
478.000,0.263241
479.000,0.264390
480.000,0.265579
481.000,0.266791
482.000,0.268011
483.000,0.269229
484.000,0.270442
485.000,0.271653
486.000,0.272869
487.000,0.274104
488.000,0.275377
489.000,0.276710
490.000,0.278127
491.000,0.279653
492.000,0.281312
493.000,0.283123
494.000,0.285105
495.000,0.287270
496.000,0.289624
497.000,0.292170
498.000,0.294904
499.000,0.297819
500.000,0.300908
501.000,0.304161
502.000,0.307569
503.000,0.311125
504.000,0.314824
505.000,0.318665
506.000,0.322648
507.000,0.326772
508.000,0.331038
509.000,0.335441
510.000,0.339974
511.000,0.344619
512.000,0.349353
513.000,0.354142
514.000,0.358940
515.000,0.363696
516.000,0.368352
517.000,0.372844
518.000,0.377109
519.000,0.381089
520.000,0.384733
521.000,0.388000
522.000,0.390864
523.000,0.393314
524.000,0.395356
525.000,0.397008
526.000,0.398303
527.000,0.399285
528.000,0.400002
529.000,0.400506
530.000,0.400851
531.000,0.401082
532.000,0.401243
533.000,0.401366
534.000,0.401474
535.000,0.401580
536.000,0.401687
537.000,0.401789
538.000,0.401872
539.000,0.401913
540.000,0.401887
541.000,0.401763
542.000,0.401513
543.000,0.401103
544.000,0.400506
545.000,0.399696
546.000,0.398651
547.000,0.397354
548.000,0.395794
549.000,0.393965
550.000,0.391867
551.000,0.389505
552.000,0.386885
553.000,0.384021
554.000,0.380923
555.000,0.377608
556.000,0.374087
557.000,0.370373
558.000,0.366476
559.000,0.362404
560.000,0.358162
561.000,0.353752
562.000,0.349175
563.000,0.344428
564.000,0.339507
565.000,0.334407
566.000,0.329122
567.000,0.323644
568.000,0.317965
569.000,0.312079
570.000,0.305977
571.000,0.299652
572.000,0.293098
573.000,0.286306
574.000,0.279273
575.000,0.271992
576.000,0.264463
577.000,0.256683
578.000,0.248655
579.000,0.240386
580.000,0.231886
581.000,0.223171
582.000,0.214261
583.000,0.205182
584.000,0.195967
585.000,0.186654
586.000,0.177287
587.000,0.167912
588.000,0.158581
589.000,0.149351
590.000,0.140276
591.000,0.131416
592.000,0.122828
593.000,0.114568
594.000,0.106690
595.000,0.099246
596.000,0.092281
597.000,0.085838
598.000,0.079951
599.000,0.074649
600.000,0.069954
601.000,0.065881
602.000,0.062435
603.000,0.059616
604.000,0.057415
605.000,0.055818
606.000,0.054800
607.000,0.054336
608.000,0.054392
609.000,0.054931
610.000,0.055915
611.000,0.057302
612.000,0.059052
613.000,0.061126
614.000,0.063484
615.000,0.066094
616.000,0.068923
617.000,0.071946
618.000,0.075142
619.000,0.078494
620.000,0.081992
621.000,0.085628
622.000,0.089400
623.000,0.093308
624.000,0.097353
625.000,0.101540
626.000,0.105871
627.000,0.110351
628.000,0.114981
629.000,0.119763
630.000,0.124695
631.000,0.129776
632.000,0.135001
633.000,0.140366
634.000,0.145865
635.000,0.151492
636.000,0.157244
637.000,0.163117
638.000,0.169111
639.000,0.175226
640.000,0.181466
641.000,0.187838
642.000,0.194350
643.000,0.201013
644.000,0.207835
645.000,0.214827
646.000,0.221996
647.000,0.229344
648.000,0.236871
649.000,0.244569
650.000,0.252423
651.000,0.260410
652.000,0.268502
653.000,0.276663
654.000,0.284852
655.000,0.293025
656.000,0.301135
657.000,0.309141
658.000,0.317003
659.000,0.324687
660.000,0.332170
661.000,0.339435
662.000,0.346478
663.000,0.353305
664.000,0.359928
665.000,0.366368
666.000,0.372652
667.000,0.378808
668.000,0.384865
669.000,0.390852
670.000,0.396792
671.000,0.402705
672.000,0.408605
673.000,0.414501
674.000,0.420397
675.000,0.426289
676.000,0.432172
677.000,0.438038
678.000,0.443876
679.000,0.449674
680.000,0.455422
681.000,0.461110
682.000,0.466731
683.000,0.472279
684.000,0.477754
685.000,0.483154
686.000,0.488481
687.000,0.493741
688.000,0.498938
689.000,0.504078
690.000,0.509165
691.000,0.514205
692.000,0.519198
693.000,0.524146
694.000,0.529044
695.000,0.533888
696.000,0.538667
697.000,0.543371
698.000,0.547987
699.000,0.552499
700.000,0.556893
701.000,0.561153
702.000,0.565268
703.000,0.569228
704.000,0.573024
705.000,0.576655
706.000,0.580122
707.000,0.583430
708.000,0.586590
709.000,0.589612
710.000,0.592513
711.000,0.595307
712.000,0.598011
713.000,0.600642
714.000,0.603212
715.000,0.605735
716.000,0.608220
717.000,0.610674
718.000,0.613102
719.000,0.615507
720.000,0.617889
721.000,0.620247
722.000,0.622579
723.000,0.624881
724.000,0.627152
725.000,0.629387
726.000,0.631586
727.000,0.633745
728.000,0.635865
729.000,0.637943
730.000,0.639982
731.000,0.641981
732.000,0.643943
733.000,0.645868
734.000,0.647758
735.000,0.649617
736.000,0.651445
737.000,0.653245
738.000,0.655018
739.000,0.656767
740.000,0.658492
741.000,0.660195
742.000,0.661877
743.000,0.663537
744.000,0.665176
745.000,0.666792
746.000,0.668386
747.000,0.669954
748.000,0.671496
749.000,0.673009
750.000,0.674489
751.000,0.675935
752.000,0.677344
753.000,0.678714
754.000,0.680042
755.000,0.681327
756.000,0.682570
757.000,0.683769
758.000,0.684927
759.000,0.686046
760.000,0.687127
761.000,0.688175
762.000,0.689192
763.000,0.690182
764.000,0.691150
765.000,0.692098
766.000,0.693029
767.000,0.693946
768.000,0.694850
769.000,0.695744
770.000,0.696628
771.000,0.697503
772.000,0.698368
773.000,0.699223
774.000,0.700068
775.000,0.700903
776.000,0.701726
777.000,0.702537
778.000,0.703336
779.000,0.704122
780.000,0.704896
781.000,0.705657
782.000,0.706405
783.000,0.707142
784.000,0.707866
785.000,0.708578
786.000,0.709280
787.000,0.709970
788.000,0.710651
789.000,0.711321
790.000,0.711982
791.000,0.712634
792.000,0.713278
793.000,0.713913
794.000,0.714541
795.000,0.715160
796.000,0.715773
797.000,0.716378
798.000,0.716976
799.000,0.717567
800.000,0.718151
801.000,0.718727
802.000,0.719295
803.000,0.719855
804.000,0.720405
805.000,0.720946
806.000,0.721477
807.000,0.721998
808.000,0.722508
809.000,0.723008
810.000,0.723499
811.000,0.723981
812.000,0.724456
813.000,0.724927
814.000,0.725395
815.000,0.725863
816.000,0.726335
817.000,0.726812
818.000,0.727298
819.000,0.727796
820.000,0.728306
821.000,0.728831
822.000,0.729370
823.000,0.729924
824.000,0.730491
825.000,0.731069
826.000,0.731657
827.000,0.732252
828.000,0.732851
829.000,0.733451
830.000,0.734049
831.000,0.734644
832.000,0.735233
833.000,0.735815
834.000,0.736388
835.000,0.736953
836.000,0.737510
837.000,0.738057
838.000,0.738597
839.000,0.739130
840.000,0.739656
841.000,0.740176
842.000,0.740692
843.000,0.741202
844.000,0.741708
845.000,0.742211
846.000,0.742709
847.000,0.743203
848.000,0.743694
849.000,0.744180
850.000,0.744662
851.000,0.745140
852.000,0.745613
853.000,0.746083
854.000,0.746548
855.000,0.747009
856.000,0.747466
857.000,0.747920
858.000,0.748371
859.000,0.748818
860.000,0.749263
861.000,0.749704
862.000,0.750141
863.000,0.750574
864.000,0.751003
865.000,0.751426
866.000,0.751844
867.000,0.752256
868.000,0.752661
869.000,0.753060
870.000,0.753453
871.000,0.753841
872.000,0.754223
873.000,0.754603
874.000,0.754981
875.000,0.755359
876.000,0.755740
877.000,0.756124
878.000,0.756513
879.000,0.756907
880.000,0.757307
881.000,0.757710
882.000,0.758114
883.000,0.758515
884.000,0.758909
885.000,0.759289
886.000,0.759648
