Wavelength,Power transmitted
400.000,0.987229
401.000,0.987103
402.000,0.986970
403.000,0.986838
404.000,0.986697
405.000,0.986554
406.000,0.986409
407.000,0.986258
408.000,0.986101
409.000,0.985940
410.000,0.985773
411.000,0.985602
412.000,0.985430
413.000,0.985248
414.000,0.985060
415.000,0.984862
416.000,0.984662
417.000,0.984453
418.000,0.984239
419.000,0.984015
420.000,0.983786
421.000,0.983542
422.000,0.983293
423.000,0.983035
424.000,0.982765
425.000,0.982487
426.000,0.982193
427.000,0.981892
428.000,0.981571
429.000,0.981239
430.000,0.980899
431.000,0.980539
432.000,0.980160
433.000,0.979773
434.000,0.979359
435.000,0.978930
436.000,0.978477
437.000,0.978002
438.000,0.977509
439.000,0.976987
440.000,0.976438
441.000,0.975861
442.000,0.975254
443.000,0.974615
444.000,0.973935
445.000,0.973224
446.000,0.972474
447.000,0.971671
448.000,0.970825
449.000,0.969935
450.000,0.968973
451.000,0.967972
452.000,0.966885
453.000,0.965752
454.000,0.964521
455.000,0.963233
456.000,0.961828
457.000,0.960324
458.000,0.958714
459.000,0.957018
460.000,0.955160
461.000,0.953155
462.000,0.950994
463.000,0.948656
464.000,0.946126
465.000,0.943374
466.000,0.940337
467.000,0.937065
468.000,0.933491
469.000,0.929557
470.000,0.925183
471.000,0.920422
472.000,0.915163
473.000,0.909215
474.000,0.902699
475.000,0.895302
476.000,0.887149
477.000,0.877816
478.000,0.867326
479.000,0.855647
480.000,0.842309
481.000,0.827282
482.000,0.810506
483.000,0.791923
484.000,0.771678
485.000,0.750377
486.000,0.727666
487.000,0.704333
488.000,0.680833
489.000,0.657188
490.000,0.634564
491.000,0.612770
492.000,0.592055
493.000,0.572521
494.000,0.554233
495.000,0.537006
496.000,0.521427
497.000,0.507210
498.000,0.494133
499.000,0.482661
500.000,0.472375
501.000,0.463637
502.000,0.456123
503.000,0.450110
504.000,0.445370
505.000,0.442107
506.000,0.440174
507.000,0.439686
508.000,0.440607
509.000,0.442978
510.000,0.446805
511.000,0.452081
512.000,0.458632
513.000,0.466711
514.000,0.476099
515.000,0.486734
516.000,0.498515
517.000,0.511291
518.000,0.524909
519.000,0.539170
520.000,0.553942
521.000,0.569033
522.000,0.584257
523.000,0.599565
524.000,0.614872
525.000,0.630462
526.000,0.645582
527.000,0.660444
528.000,0.675045
529.000,0.689547
530.000,0.703248
531.000,0.716412
532.000,0.729258
533.000,0.741219
534.000,0.752530
535.000,0.763462
536.000,0.773518
537.000,0.783196
538.000,0.792049
539.000,0.800565
540.000,0.808363
541.000,0.815815
542.000,0.822798
543.000,0.829180
544.000,0.835309
545.000,0.840913
546.000,0.846294
547.000,0.851332
548.000,0.856078
549.000,0.860418
550.000,0.864599
551.000,0.868542
552.000,0.872257
553.000,0.875742
554.000,0.878961
555.000,0.882070
556.000,0.885008
557.000,0.887798
558.000,0.890429
559.000,0.892923
560.000,0.895284
561.000,0.897539
562.000,0.899668
563.000,0.901695
564.000,0.903621
565.000,0.905455
566.000,0.907199
567.000,0.908865
568.000,0.910455
569.000,0.912015
570.000,0.913465
571.000,0.914836
572.000,0.916162
573.000,0.917429
574.000,0.918669
575.000,0.919831
576.000,0.920946
577.000,0.922005
578.000,0.923062
579.000,0.924038
580.000,0.924985
581.000,0.925913
582.000,0.926779
583.000,0.927647
584.000,0.928446
585.000,0.929216
586.000,0.929994
587.000,0.930708
588.000,0.931421
589.000,0.932082
590.000,0.932746
591.000,0.933363
592.000,0.933980
593.000,0.934555
594.000,0.935130
595.000,0.935688
596.000,0.936197
597.000,0.936717
598.000,0.937201
599.000,0.937687
600.000,0.938150
601.000,0.938588
602.000,0.939030
603.000,0.939450
604.000,0.939864
605.000,0.940241
606.000,0.940630
607.000,0.940999
608.000,0.941358
609.000,0.941697
610.000,0.942033
611.000,0.942359
612.000,0.942675
613.000,0.942982
614.000,0.943287
615.000,0.943563
616.000,0.943844
617.000,0.944116
618.000,0.944380
619.000,0.944637
620.000,0.944879
621.000,0.945121
622.000,0.945356
623.000,0.945585
624.000,0.945807
625.000,0.946015
626.000,0.946225
627.000,0.946422
628.000,0.946620
629.000,0.946812
630.000,0.946993
631.000,0.947169
632.000,0.947345
633.000,0.947511
634.000,0.947678
635.000,0.947834
636.000,0.947996
637.000,0.948143
638.000,0.948293
639.000,0.948432
640.000,0.948568
641.000,0.948699
642.000,0.948836
643.000,0.948960
644.000,0.949081
645.000,0.949198
646.000,0.949311
647.000,0.949425
648.000,0.949532
649.000,0.949637
650.000,0.949738
651.000,0.949839
652.000,0.949935
653.000,0.950028
654.000,0.950120
655.000,0.950208
656.000,0.950287
657.000,0.950377
658.000,0.950452
659.000,0.950525
660.000,0.950607
661.000,0.950675
662.000,0.950747
663.000,0.950811
664.000,0.950878
665.000,0.950945
666.000,0.951002
667.000,0.951064
668.000,0.951118
669.000,0.951176
670.000,0.951226
671.000,0.951281
672.000,0.951323
673.000,0.951374
674.000,0.951417
675.000,0.951465
676.000,0.951501
677.000,0.951545
678.000,0.951583
679.000,0.951619
680.000,0.951654
681.000,0.951688
682.000,0.951725
683.000,0.951751
684.000,0.951786
685.000,0.951809
686.000,0.951836
687.000,0.951867
688.000,0.951886
689.000,0.951910
690.000,0.951927
691.000,0.951948
692.000,0.951969
693.000,0.951982
694.000,0.952001
695.000,0.952018
696.000,0.952028
697.000,0.952044
698.000,0.952058
699.000,0.952071
700.000,0.952078
701.000,0.952085
702.000,0.952095
703.000,0.952099
704.000,0.952104
705.000,0.952111
706.000,0.952114
707.000,0.952115
708.000,0.952116
709.000,0.952120
710.000,0.952120
711.000,0.952118
712.000,0.952116
713.000,0.952113
714.000,0.952109
715.000,0.952105
716.000,0.952100
717.000,0.952099
718.000,0.952088
719.000,0.952082
720.000,0.952074
721.000,0.952066
722.000,0.952053
723.000,0.952044
724.000,0.952034
725.000,0.952019
726.000,0.952008
727.000,0.951993
728.000,0.951980
729.000,0.951968
730.000,0.951951
731.000,0.951937
732.000,0.951919
733.000,0.951904
734.000,0.951885
735.000,0.951870
736.000,0.951850
737.000,0.951829
738.000,0.951813
739.000,0.951792
740.000,0.951770
741.000,0.951748
742.000,0.951725
743.000,0.951706
744.000,0.951683
745.000,0.951659
746.000,0.951635
747.000,0.951611
748.000,0.951582
749.000,0.951557
750.000,0.951531
751.000,0.951506
752.000,0.951480
753.000,0.951449
754.000,0.951422
755.000,0.951395
756.000,0.951364
757.000,0.951337
758.000,0.951304
759.000,0.951277
760.000,0.951244
761.000,0.951215
762.000,0.951186
763.000,0.951153
764.000,0.951123
765.000,0.951089
766.000,0.951055
767.000,0.951021
768.000,0.950987
769.000,0.950952
770.000,0.950917
771.000,0.950886
772.000,0.950850
773.000,0.950815
774.000,0.950779
775.000,0.950743
776.000,0.950707
777.000,0.950674
