Wavelength,Power transmitted
400.000,0.971509
401.000,0.971425
402.000,0.971340
403.000,0.971254
404.000,0.971166
405.000,0.971075
406.000,0.970981
407.000,0.970883
408.000,0.970782
409.000,0.970677
410.000,0.970568
411.000,0.970457
412.000,0.970342
413.000,0.970225
414.000,0.970105
415.000,0.969984
416.000,0.969860
417.000,0.969734
418.000,0.969607
419.000,0.969477
420.000,0.969346
421.000,0.969212
422.000,0.969077
423.000,0.968938
424.000,0.968798
425.000,0.968655
426.000,0.968509
427.000,0.968360
428.000,0.968208
429.000,0.968053
430.000,0.967895
431.000,0.967735
432.000,0.967571
433.000,0.967404
434.000,0.967234
435.000,0.967061
436.000,0.966886
437.000,0.966707
438.000,0.966526
439.000,0.966342
440.000,0.966154
441.000,0.965964
442.000,0.965770
443.000,0.965573
444.000,0.965373
445.000,0.965169
446.000,0.964962
447.000,0.964750
448.000,0.964535
449.000,0.964316
450.000,0.964094
451.000,0.963867
452.000,0.963637
453.000,0.963402
454.000,0.963163
455.000,0.962921
456.000,0.962674
457.000,0.962424
458.000,0.962169
459.000,0.961910
460.000,0.961647
461.000,0.961380
462.000,0.961108
463.000,0.960832
464.000,0.960551
465.000,0.960266
466.000,0.959976
467.000,0.959681
468.000,0.959381
469.000,0.959076
470.000,0.958766
471.000,0.958451
472.000,0.958131
473.000,0.957805
474.000,0.957473
475.000,0.957136
476.000,0.956792
477.000,0.956443
478.000,0.956088
479.000,0.955727
480.000,0.955360
481.000,0.954986
482.000,0.954606
483.000,0.954219
484.000,0.953826
485.000,0.953425
486.000,0.953018
487.000,0.952604
488.000,0.952183
489.000,0.951754
490.000,0.951317
491.000,0.950873
492.000,0.950421
493.000,0.949961
494.000,0.949492
495.000,0.949015
496.000,0.948529
497.000,0.948034
498.000,0.947531
499.000,0.947018
500.000,0.946495
501.000,0.945963
502.000,0.945422
503.000,0.944870
504.000,0.944308
505.000,0.943735
506.000,0.943152
507.000,0.942558
508.000,0.941952
509.000,0.941335
510.000,0.940706
511.000,0.940066
512.000,0.939412
513.000,0.938747
514.000,0.938068
515.000,0.937376
516.000,0.936671
517.000,0.935951
518.000,0.935218
519.000,0.934470
520.000,0.933708
521.000,0.932930
522.000,0.932137
523.000,0.931328
524.000,0.930503
525.000,0.929661
526.000,0.928802
527.000,0.927925
528.000,0.927031
529.000,0.926118
530.000,0.925186
531.000,0.924234
532.000,0.923262
533.000,0.922269
534.000,0.921255
535.000,0.920219
536.000,0.919161
537.000,0.918080
538.000,0.916975
539.000,0.915847
540.000,0.914693
541.000,0.913514
542.000,0.912309
543.000,0.911078
544.000,0.909818
545.000,0.908531
546.000,0.907215
547.000,0.905868
548.000,0.904492
549.000,0.903083
550.000,0.901642
551.000,0.900168
552.000,0.898659
553.000,0.897114
554.000,0.895533
555.000,0.893915
556.000,0.892257
557.000,0.890560
558.000,0.888822
559.000,0.887041
560.000,0.885217
561.000,0.883348
562.000,0.881433
563.000,0.879470
564.000,0.877459
565.000,0.875396
566.000,0.873282
567.000,0.871114
568.000,0.868891
569.000,0.866611
570.000,0.864272
571.000,0.861872
572.000,0.859410
573.000,0.856883
574.000,0.854289
575.000,0.851625
576.000,0.848890
577.000,0.846080
578.000,0.843194
579.000,0.840228
580.000,0.837181
581.000,0.834049
582.000,0.830830
583.000,0.827520
584.000,0.824118
585.000,0.820621
586.000,0.817024
587.000,0.813326
588.000,0.809524
589.000,0.805613
590.000,0.801590
591.000,0.797452
592.000,0.793194
593.000,0.788812
594.000,0.784303
595.000,0.779661
596.000,0.774881
597.000,0.769959
598.000,0.764890
599.000,0.759667
600.000,0.754286
601.000,0.748742
602.000,0.743029
603.000,0.737141
604.000,0.731072
605.000,0.724817
606.000,0.718370
607.000,0.711725
608.000,0.704875
609.000,0.697815
610.000,0.690538
611.000,0.683036
612.000,0.675304
613.000,0.667335
614.000,0.659121
615.000,0.650655
616.000,0.641931
617.000,0.632940
618.000,0.623676
619.000,0.614131
620.000,0.604299
621.000,0.594174
622.000,0.583748
623.000,0.573017
624.000,0.561975
625.000,0.550618
626.000,0.538943
627.000,0.526946
628.000,0.514626
629.000,0.501983
630.000,0.489018
631.000,0.475733
632.000,0.462131
633.000,0.448217
634.000,0.433999
635.000,0.419485
636.000,0.404685
637.000,0.389614
638.000,0.374288
639.000,0.358726
640.000,0.342953
641.000,0.326997
642.000,0.310892
643.000,0.294678
644.000,0.278400
645.000,0.262111
646.000,0.245873
647.000,0.229752
648.000,0.213822
649.000,0.198164
650.000,0.182861
651.000,0.168004
652.000,0.153681
653.000,0.139982
654.000,0.126995
655.000,0.114800
656.000,0.103470
657.000,0.093070
658.000,0.083649
659.000,0.075244
660.000,0.067876
661.000,0.061551
662.000,0.056257
663.000,0.051968
664.000,0.048645
665.000,0.046237
666.000,0.044682
667.000,0.043913
668.000,0.043857
669.000,0.044441
670.000,0.045595
671.000,0.047248
672.000,0.049339
673.000,0.051812
674.000,0.054617
675.000,0.057714
676.000,0.061069
677.000,0.064658
678.000,0.068460
679.000,0.072460
680.000,0.076649
681.000,0.081019
682.000,0.085564
683.000,0.090280
684.000,0.095162
685.000,0.100206
686.000,0.105407
687.000,0.110757
688.000,0.116251
689.000,0.121879
690.000,0.127634
691.000,0.133506
692.000,0.139487
693.000,0.145568
694.000,0.151741
695.000,0.157996
696.000,0.164328
697.000,0.170730
698.000,0.177195
699.000,0.183717
700.000,0.190292
701.000,0.196914
702.000,0.203579
703.000,0.210281
704.000,0.217016
705.000,0.223779
706.000,0.230563
707.000,0.237365
708.000,0.244176
709.000,0.250991
710.000,0.257803
711.000,0.264606
712.000,0.271392
713.000,0.278154
714.000,0.284885
715.000,0.291579
716.000,0.298229
717.000,0.304828
718.000,0.311370
719.000,0.317849
720.000,0.324261
721.000,0.330599
722.000,0.336859
723.000,0.343037
724.000,0.349128
725.000,0.355129
726.000,0.361035
727.000,0.366845
728.000,0.372554
729.000,0.378160
730.000,0.383660
731.000,0.389052
732.000,0.394334
733.000,0.399505
734.000,0.404561
735.000,0.409502
736.000,0.414327
737.000,0.419034
738.000,0.423623
739.000,0.428092
740.000,0.432442
741.000,0.436672
742.000,0.440783
743.000,0.444773
744.000,0.448645
745.000,0.452397
746.000,0.456031
747.000,0.459547
748.000,0.462946
749.000,0.466228
750.000,0.469395
751.000,0.472447
752.000,0.475385
753.000,0.478211
754.000,0.480924
755.000,0.483526
756.000,0.486019
757.000,0.488401
758.000,0.490676
759.000,0.492842
760.000,0.494902
761.000,0.496856
762.000,0.498705
763.000,0.500449
764.000,0.502090
765.000,0.503628
766.000,0.505065
767.000,0.506400
768.000,0.507636
769.000,0.508772
770.000,0.509810
771.000,0.510750
772.000,0.511593
773.000,0.512341
774.000,0.512992
775.000,0.513549
776.000,0.514012
777.000,0.514382
778.000,0.514658
779.000,0.514842
780.000,0.514934
781.000,0.514934
782.000,0.514843
783.000,0.514662
784.000,0.514391
785.000,0.514031
786.000,0.513581
787.000,0.513042
788.000,0.512414
789.000,0.511699
790.000,0.510895
791.000,0.510004
792.000,0.509025
793.000,0.507959
794.000,0.506807
795.000,0.505567
796.000,0.504241
797.000,0.502829
798.000,0.501330
799.000,0.499745
800.000,0.498075
801.000,0.496319
802.000,0.494477
803.000,0.492550
804.000,0.490537
805.000,0.488440
806.000,0.486257
807.000,0.483989
808.000,0.481637
809.000,0.479201
810.000,0.476679
811.000,0.474074
812.000,0.471384
813.000,0.468611
814.000,0.465754
815.000,0.462814
816.000,0.459790
817.000,0.456684
818.000,0.453495
819.000,0.450224
820.000,0.446872
821.000,0.443438
822.000,0.439924
823.000,0.436329
824.000,0.432655
825.000,0.428902
826.000,0.425071
827.000,0.421162
828.000,0.417177
829.000,0.413116
830.000,0.408981
831.000,0.404772
832.000,0.400490
833.000,0.396137
834.000,0.391715
835.000,0.387223
836.000,0.382665
837.000,0.378041
838.000,0.373354
839.000,0.368605
840.000,0.363795
841.000,0.358928
842.000,0.354004
843.000,0.349028
844.000,0.343999
845.000,0.338923
846.000,0.333800
847.000,0.328635
848.000,0.323429
849.000,0.318186
850.000,0.312909
851.000,0.307602
852.000,0.302268
853.000,0.296911
854.000,0.291534
855.000,0.286141
856.000,0.280736
857.000,0.275324
858.000,0.269908
859.000,0.264493
860.000,0.259083
861.000,0.253683
862.000,0.248298
863.000,0.242931
864.000,0.237588
865.000,0.232274
866.000,0.226994
867.000,0.221752
868.000,0.216553
869.000,0.211403
870.000,0.206307
871.000,0.201269
872.000,0.196294
873.000,0.191387
874.000,0.186552
875.000,0.181795
876.000,0.177119
877.000,0.172530
878.000,0.168031
879.000,0.163626
880.000,0.159320
881.000,0.155116
882.000,0.151017
883.000,0.147027
884.000,0.143149
885.000,0.139386
886.000,0.135741
887.000,0.132216
888.000,0.128813
889.000,0.125534
890.000,0.122380
891.000,0.119354
892.000,0.116456
893.000,0.113688
894.000,0.111049
895.000,0.108541
896.000,0.106163
897.000,0.103916
898.000,0.101800
899.000,0.099814
900.000,0.097958
901.000,0.096231
